X,Y,rand_point,fid,DN,elev_1,slope_1,aspect_1,rough_1,tri_1
85.4197807145586,22.2291244001882,214,69,1,426,17.9507369995117,92.1758041381836,6.04839706420898,23.1948261260986
85.4179595952047,22.2275839330412,215,69,1,453,21.4893779754639,102.632225036621,15.5409736633301,28.7749900817871
85.4178528433426,22.2240429779787,216,69,1,483,15.3509254455566,68.0766830444336,7.44508934020996,19.4164886474609
85.4192143117227,22.2245957529019,217,69,1,474,15.6419734954834,354.692687988281,17.0110740661621,21.4476108551025
85.4192240201381,22.2283611383446,218,69,1,440,19.8531532287598,116.285293579102,11.9393577575684,26.3818111419678
85.4183853009429,22.2280574027907,219,69,1,455,20.833215713501,137.109176635742,10.6935958862305,29.0516777038574
85.4171743909293,22.2253800424415,220,69,1,493,17.1196708679199,65.6296768188477,16.3285655975342,24.9198722839355
85.4176363819869,22.2259510783437,221,69,1,477,17.5477390289307,75.7385864257812,26.1655502319336,24.6779251098633
85.4172779236741,22.2241995727191,222,69,1,491,16.9028491973877,60.0526313781738,8.76560974121094,23.8327503204346
85.4200751663116,22.225129408513,223,69,1,462,20.2051620483398,345.741302490234,9.81785774230957,27.2396774291992
85.4640598983095,22.2239844455144,224,70,1,404,6.39341402053833,17.9494590759277,18.3487567901611,8.71779823303223
85.463395170693,22.223536599748,225,70,1,422,16.1332664489746,341.737701416016,18.974063873291,23.8117618560791
85.464346063946,22.2235509947754,226,70,1,414,15.0037641525269,40.1059646606445,15.1294822692871,20.2977828979492
85.4608427663139,22.2241078654213,227,71,1,423,15.3073949813843,77.8947296142578,20.0103321075439,21.1660099029541
85.4612480308436,22.2235102527133,228,71,1,420,17.2009334564209,46.4739265441895,15.0048751831055,24.020824432373
85.4607120179534,22.2236484075195,229,71,1,429,15.5351457595825,53.8467063903809,20.0103321075439,22.7376346588135
85.4256497704679,22.2238500058944,230,72,1,443,21.0186443328857,352.901672363281,20.6504611968994,32.186954498291
85.4264674926346,22.2234955410881,231,72,1,470,28.667106628418,351.830078125,28.6795711517334,43.7264213562012
85.4256959198511,22.2229318082895,232,72,1,472,19.6049575805664,301.971343994141,12.2637338638306,25.9422435760498
85.427120718196,22.2243975335291,233,72,1,437,18.0649166107178,345.437225341797,12.3172798156738,24.7790241241455
85.4272453188417,22.2236253074381,234,72,1,456,23.4120826721191,344.977722167969,17.5092582702637,32.939338684082
85.4267811739453,22.2238726389451,235,72,1,451,26.8351860046387,344.662963867188,19.4643478393555,40.5092582702637
85.4252863525226,22.224252869656,236,72,1,427,15.5852813720703,358.226379394531,15.9792671203613,21.2367610931396
85.4260433308003,22.2242128356777,237,72,1,422,15.6913747787476,7.06075763702393,11.5496120452881,21.8632106781006
85.4265013879172,22.2243951518917,238,72,1,428,16.3763160705566,324.017242431641,13.3446826934814,22.2485961914062
85.4277372777269,22.2243172625237,239,72,1,442,18.5990791320801,339.737335205078,11.4002456665039,24.7588367462158
85.4186983985517,22.2231546249258,240,73,1,494,16.5619926452637,41.8872489929199,8.14480590820312,24.2693214416504
85.4191105890565,22.2228902597619,241,73,1,492,17.4256649017334,58.5003051757812,11.9404935836792,23.4307498931885
85.4269184459722,22.2229061831589,242,74,1,480,12.1335887908936,105.484519958496,4.75488662719727,16.5831241607666
85.4267811369363,22.2224414462962,243,74,1,469,13.4266128540039,117.626457214355,8.16157054901123,19.0262985229492
85.5726521590814,22.2236955824451,244,75,1,451,16.8891429901123,313.526062011719,12.8820781707764,24.0624179840088
85.4048859647232,22.2225718678437,245,76,1,431,18.7483386993408,250.231811523438,16.9549140930176,28.9827537536621
85.4043681777503,22.2238718515436,246,76,1,429,16.4904403686523,242.803985595703,11.6800098419189,22.9346904754639
85.4048143244382,22.2218038447561,247,76,1,410,18.0898265838623,254.71760559082,20.1029148101807,24.7386341094971
85.4048120148048,22.2230898589308,248,76,1,433,17.8506278991699,262.685760498047,19.0455665588379,24.6981773376465
85.4126814136584,22.2232177136111,249,77,1,499,13.128623008728,87.9852294921875,14.579213142395,18.1383571624756
85.412916555161,22.2218806189219,250,77,1,492,15.7777252197266,111.269691467285,13,21.1423740386963
85.412858086157,22.2224007102598,251,77,1,499,18.7573909759521,101.843460083008,10.8201036453247,24.4948978424072
85.4186845080876,22.2218462252069,252,78,1,488,11.9601058959961,110.388710021973,11.0997505187988,17.3205089569092
85.4186558259964,22.2223159683208,253,78,1,499,15.071494102478,118.162750244141,6.42495632171631,19.4422225952148
85.4394120829233,22.2245687621972,254,79,1,377,19.9720363616943,93.8812789916992,32.8263931274414,34.4093017578125
85.4385279631431,22.2222636177333,255,79,1,400,20.5911273956299,105.183242797852,16.7992324829102,27.5317993164062
85.4393548675325,22.2225485540366,256,79,1,383,15.4689445495605,93.3973388671875,25.698314666748,20.1990089416504
85.4389939076527,22.2259829709868,257,79,1,382,16.2721652984619,355.759704589844,17.3278369903564,21.8174247741699
